"sexo";"edad";"peso";"talla"
"varon";11;40;152,5
"varon";11;28;130,8
"hembra";11;36;143,7
"varon";11;36,5;141,6
"hembra";11;31,5;140
"hembra";11;36;144,6
"varon";11;32;140,5
"hembra";11;42,5;144,2
"hembra";11;31;141,8
"varon";11;30,5;141,9
"varon";11,08;32;140
"hembra";11,08;42,5;149,2
"varon";11,08;49;152,8
"varon";11,08;28;136,5
"hembra";11,08;30;136,7
"hembra";11,08;41;142,8
"varon";11,08;41;151,2
"varon";11,08;39;140,1
"varon";11,08;37,5;146,9
"hembra";11,08;42;148,5
"hembra";11,08;35,5;136,1
"varon";11,08;38;143,5
"hembra";11,08;42;153,5
"varon";11,17;48;148,1
"varon";11,17;41;149,7
"varon";11,17;33;140,5
"hembra";11,17;40;140,4
"hembra";11,17;39;137
"hembra";11,17;37,5;146,6
"hembra";11,17;43;146
"hembra";11,17;30;141
"hembra";11,17;25;137,6
"hembra";11,17;56;148,3
"varon";11,17;29;130,6
"varon";11,17;49;153,6
"varon";11,17;43;143,7
"hembra";11,17;35;154
"hembra";11,17;45;140,1
"hembra";11,25;36;143,5
"hembra";11,25;34;139,3
"varon";11,25;39;144,1
"varon";11,25;44;153,8
"hembra";11,25;33,5;140,5
"hembra";11,25;41,5;140,7
"varon";11,25;32;141,4
"varon";11,25;29;135,1
"varon";11,25;45;147,1
"varon";11,33;37;148,8
"varon";11,33;30;139,1
"varon";11,33;32;139,3
"hembra";11,33;41;148
"hembra";11,33;45;150
"hembra";11,33;35,5;140,6
"hembra";11,33;27;139,3
"hembra";11,33;36;147,1
"varon";11,33;28;132,1
"hembra";11,33;38;151,2
"hembra";11,33;26,5;130
"hembra";11,33;47;147,4
"varon";11,33;30;140,4
"varon";11,33;36;144,7
"hembra";11,33;31;143,4
"varon";11,33;26,5;132,7
"hembra";11,42;38,5;149
"hembra";11,42;36,5;143,4
"varon";11,42;34;146
"hembra";11,42;52,5;157,5
"hembra";11,42;45;140,8
"varon";11,42;35;137,6
"varon";11,42;43,5;151,1
"hembra";11,42;43;140
"hembra";11,42;40,5;142,3
"hembra";11,42;38,5;140,5
"hembra";11,42;39,5;135,2
"varon";11,42;33;141,9
"hembra";11,42;31;139,3
"hembra";11,42;30;137,2
"hembra";11,42;44;147,3
"varon";11,42;31;139
"varon";11,42;31;134,8
"varon";11,42;32;135,7
"hembra";11,5;27;148
"hembra";11,5;48,5;156
"varon";11,5;37;142,6
"hembra";11,5;38,5;142,3
"varon";11,5;31;140,4
"hembra";11,5;34,5;140
"varon";11,5;35;163
"hembra";11,5;45;147,3
"varon";11,5;44,5;150,3
"varon";11,5;38;145,2
"varon";11,5;36;142,3
"varon";11,5;33;145,3
"varon";11,5;60;151,4
"hembra";11,5;57;162
"hembra";11,5;36,5;142,6
"varon";11,5;39,5;137,7
"varon";11,5;46;145,9
"hembra";11,5;58;165,3
"hembra";11,5;53;157
"varon";11,5;50;148,3
"hembra";11,58;61;160,5
"varon";11,58;38;146,8
"hembra";11,58;55;150,5
"hembra";11,58;37;144,3
"hembra";11,58;37,5;143,5
"hembra";11,67;54,5;158,5
"hembra";11,67;35;148,4
"varon";11,67;34;143,7
"varon";11,67;46;146,2
"hembra";11,67;34,5;149
"varon";11,67;37;145,5
"varon";11,67;34;142,5
"varon";11,67;35;137
"varon";11,67;42;146,2
"varon";11,67;38;144,3
"hembra";11,67;36,5;142,5
"varon";11,67;41;151
"hembra";11,75;28;136,5
"hembra";11,75;29;139,8
"varon";11,75;28;140,3
"hembra";11,75;38;148,2
"varon";11,75;55,5;161,6
"varon";11,75;34,5;148,7
"varon";11,75;35;146,5
"varon";11,75;59;160
"hembra";11,75;37;146,4
"varon";11,75;37;147,5
"hembra";11,75;47,5;150,3
"hembra";11,75;32;138,2
"varon";11,75;38;150,8
"varon";11,75;41;158,2
"hembra";11,75;36,5;149,4
"varon";11,75;32;146,4
"hembra";11,75;40,5;150,6
"varon";11,75;32;138,5
"hembra";11,83;54,5;155,7
"varon";11,83;45;144,5
"varon";11,83;36;148
"varon";11,83;31,5;138,5
"varon";11,83;39;142,6
"varon";11,83;30;143,7
"varon";11,83;34;147,2
"hembra";11,83;31;138
"hembra";11,83;29,5;139,5
"hembra";11,83;37;150
"varon";11,83;34,5;144,6
"varon";11,83;38,5;137
"varon";11,83;36;141,1
"varon";11,83;36;147
"varon";11,83;30;142,5
"hembra";11,83;33;145
"varon";11,83;35;148
"varon";11,83;29;138,4
"varon";11,92;37,5;148,2
"hembra";11,92;40;143,4
"varon";11,92;53,5;147,2
"varon";11,92;31,5;145,2
"hembra";11,92;39;150
"varon";11,92;36,5;145,5
"hembra";11,92;58,5;144,5
"varon";11,92;27,5;139,1
"hembra";11,92;31;142,5
"varon";11,92;45;143,3
"hembra";11,92;37;143
"hembra";11,92;40,5;144,1
"hembra";11,92;36,5;144,8
"varon";11,92;45,5;149,7
"varon";11,92;37;148,2
"varon";12;36,5;147,6
"varon";12;33;148,7
"varon";12;32;139,1
"varon";12;35;151,8
"varon";12;36;146,5
"varon";12;39;147,4
"varon";12;45;147,6
"hembra";12;46,5;152
"varon";12;30;133,1
"varon";12;43,5;151,1
"varon";12;45;148,7
"varon";12;40;148,6
"hembra";12;29;147
"hembra";12;45;139,2
"varon";12;41;153,5
"varon";12,08;31,5;139
"varon";12,08;32;136,7
"hembra";12,08;52,5;151,8
"hembra";12,08;38,5;145,2
"varon";12,08;37,5;144,8
"hembra";12,08;36,5;150,5
"varon";12,08;38,5;157
"hembra";12,08;37;149,6
"varon";12,08;46;151,5
"hembra";12,08;38;142,9
"varon";12,08;30;140,7
"varon";12,08;45;153,5
"hembra";12,08;36;146,6
"hembra";12,08;26;144,5
"varon";12,08;35;146,1
"varon";12,08;39,5;157,1
"varon";12,08;41;151,5
"varon";12,08;27;131,5
"hembra";12,08;28,5;134,9
"hembra";12,08;40;141,9
"hembra";12,17;41;153,7
"varon";12,17;35;145
"hembra";12,17;44,5;153,7
"varon";12,17;44;153
"varon";12,17;31;135,4
"hembra";12,17;52;156,1
"hembra";12,17;36;151,2
"varon";12,17;33,5;145,4
"hembra";12,17;53,5;150
"hembra";12,17;37;148
"hembra";12,17;56;157,5
"varon";12,17;45;162,9
"hembra";12,17;37;148,2
"varon";12,17;36;134
"varon";12,17;33;148,4
"varon";12,17;52;167,2
"varon";12,17;53;157,6
"varon";12,17;38;146,5
"varon";12,17;48;149
"hembra";12,17;28;149,9
"hembra";12,17;36,5;155,4
"hembra";12,17;33;145
"hembra";12,17;40;146,3
"hembra";12,17;51;153,3
"varon";12,25;43,5;147,5
"varon";12,25;34;145
"hembra";12,25;41,5;147
"varon";12,25;53;155,1
"varon";12,25;40,5;151,1
"hembra";12,25;62,5;143,6
"varon";12,25;61,5;165,8
"varon";12,25;48,5;153,5
"hembra";12,25;43;152,5
"hembra";12,33;43,5;157
"varon";12,33;41;152,2
"hembra";12,33;58,5;155,7
"varon";12,33;55;152,4
"hembra";12,33;53,5;151,5
"varon";12,33;35;147
"hembra";12,33;58,5;157
"hembra";12,33;55;161,2
"hembra";12,33;50;151,5
"varon";12,33;41;155,9
"hembra";12,33;34,5;146,5
"varon";12,33;48;149,4
"hembra";12,33;52;154,8
"hembra";12,33;41,5;148,6
"hembra";12,33;52,5;154,2
"hembra";12,33;59;154,7
"hembra";12,33;35,5;147,3
"hembra";12,33;35,5;147,7
"varon";12,33;37,5;148,4
"varon";12,33;58,5;153
"varon";12,33;43,5;157,4
"varon";12,42;35;148,9
"varon";12,42;38,5;147,7
"hembra";12,42;57;158,5
"varon";12,42;34;136,4
"varon";12,42;40,5;147,2
"varon";12,42;36;141
"varon";12,42;41;144,2
"varon";12,42;50;154,2
"hembra";12,42;47;158,2
"hembra";12,42;34;142
"varon";12,42;39;153,4
"hembra";12,42;42;144,8
"varon";12,42;35,5;151
"hembra";12,5;45;155,4
"varon";12,5;40;143,4
"hembra";12,5;44,5;151
"varon";12,5;47;153,2
"hembra";12,5;45;152,7
"varon";12,5;45;155,1
"varon";12,5;40;150,7
"hembra";12,5;70;164,2
"hembra";12,5;30;139,3
"hembra";12,5;62;169,5
"hembra";12,5;45,5;150,5
"hembra";12,5;36;153
"varon";12,5;38;157
"varon";12,5;44;156
"varon";12,5;45;157,8
"varon";12,5;48;161,2
"varon";12,5;43,5;151,1
"hembra";12,58;37;157,4
"hembra";12,58;46,5;143,7
"varon";12,58;36;151
"varon";12,58;41;157,5
"varon";12,58;33;147
"varon";12,58;40;153
"varon";12,58;31;139
"varon";12,58;39,5;153,5
"hembra";12,58;44;148,5
"varon";12,58;42;148,5
"varon";12,58;41;151,6
"varon";12,58;43,5;150,2
"varon";12,58;40,5;150,5
"varon";12,58;45;154,8
"varon";12,58;43,5;151,9
"varon";12,58;39;144,4
"varon";12,58;46;162,8
"hembra";12,58;57;155,4
"varon";12,58;65,5;173,9
"hembra";12,58;40;150,5
"hembra";12,67;48;151
"varon";12,67;47;152,4
"hembra";12,67;65,5;152,6
"hembra";12,67;44;156,5
"hembra";12,67;40,5;150,5
"varon";12,67;38;148,6
"hembra";12,67;37,5;148,7
"varon";12,67;52;152,7
"varon";12,67;61,5;165
"varon";12,67;33,5;142,8
"hembra";12,67;37;144,7
"hembra";12,67;46;155,8
"hembra";12,67;47,5;158,7
"varon";12,67;39;152,6
"hembra";12,67;40,2;155,4
"varon";12,67;34,5;144
"hembra";12,75;59;160,5
"varon";12,75;54;163,8
"varon";12,75;41,5;146,2
"hembra";12,75;37;150,2
"hembra";12,75;63;162,8
"hembra";12,75;57;160,7
"hembra";12,75;55;162
"varon";12,75;41,5;147,1
"varon";12,75;42;147
"varon";12,75;43;152,1
"varon";12,75;43,5;147,6
"hembra";12,75;37;147,3
"varon";12,75;43,5;152,3
"hembra";12,75;54,5;163,5
"varon";12,75;51,5;160,4
"varon";12,75;32,5;142,7
"varon";12,75;36;149,2
"hembra";12,75;43;151
